** CONVERTED FROM M:\glab\tmp\demo_2010-07-30-15h06m47.edf using edfapi 3.0 Win32 Dec 19 2008 on Fri Jul 30 15:06:47 2010
** DATE: Fri Jul 30 14:28:14 2010
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v3.10 Jan  4 2007
** CAMERA: EyeLink CL Board=0.3 Sensor=BID
** SERIAL NUMBER: CL1-6CA02
** CAMERA_CONFIG: 6CA02140.scd
**

MSG	12641994 DISPLAY_COORDS 0 0 799 599
MSG	12642044 RECCFG CR 1000 2 1 R
MSG	12642044 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	12642044 THRESHOLDS R 68 211
MSG	12642044 ELCL_PROC CENTROID (3)
MSG	12642044 ELCL_PCR_PARAM 5 3.0
START	12642045 	RIGHT	SAMPLES	EVENTS
12642088	  402.8	  408.7	 3080.0	...
12642089	  401.5	  408.8	 3099.0	...
12642090	  400.2	  410.8	 3118.0	...
12642091	  401.4	  410.0	 3134.0	...
12642092	  400.1	  413.2	 3142.0	...
12642093	  404.9	  411.4	 3110.0	...
EFIX R   12642054	12642093	40	  401.7	  409.0	   3179
SSACC R  12642094
12642094	  406.0	  409.6	 3112.0	...
12642095	  405.4	  408.9	 3114.0	...
12642096	  404.7	  408.1	 3148.0	...
12642097	  403.1	  400.1	 3142.0	...
12642098	  401.5	  402.0	 3150.0	...
12642099	  401.9	  401.7	 3157.0	...
12642100	  402.4	  401.8	 3177.0	...
12642101	  402.0	  400.8	 3179.0	...
12642102	  401.9	  399.9	 3169.0	...
12642103	  401.8	  397.8	 3195.0	...
12642104	  401.9	  396.3	 3193.0	...
12642105	  401.1	  398.0	 3205.0	...
12642106	  401.6	  399.8	 3206.0	...
12642107	  402.0	  400.1	 3201.0	...
12642108	  400.7	  399.7	 3213.0	...
12642109	  399.5	  407.6	 3197.0	...
12642110	  398.2	  408.5	 3194.0	...
12642111	  397.7	  408.0	 3193.0	...
12642112	  399.1	  407.4	 3192.0	...
12642113	  400.5	  407.1	 3112.0	...
12642114	  400.9	  407.8	 3092.0	...
12642115	  402.5	  406.6	 3073.0	...
12642116	  401.8	  407.3	 3072.0	...
12642117	  401.0	  408.0	 3083.0	...
12642118	  401.9	  404.4	 3093.0	...
12642119	  402.7	  400.8	 3101.0	...
12642120	  401.3	  399.7	 3108.0	...
12642121	  399.9	  399.2	 3148.0	...
12642122	  397.7	  400.8	 3160.0	...
12642123	  395.5	  402.5	 3172.0	...
12642124	  394.1	  406.1	 3182.0	...
12642125	  395.5	  404.4	 3191.0	...
12642126	  396.9	  405.0	 3195.0	...
12642127	  397.3	  402.1	 3180.0	...
12642128	  397.6	  399.2	 3212.0	...
ESACC R  12642094	12642128	35	  406.0	  409.6	  397.6	  399.2	   0.57	     60
SFIX R   12642129
12642129	  397.6	  399.7	 3210.0	...
12642130	  397.6	  400.1	 3221.0	...
MSG	12642131 TRIALSYNCTIME
12642131	  397.4	  402.6	 3183.0	...
12642132	  399.3	  402.5	 3145.0	...
12642133	  398.8	  402.5	 3161.0	...
12642134	  401.7	  402.2	 3158.0	...
12642135	  401.5	  402.0	 3163.0	...
12642136	  402.6	  400.1	 3168.0	...
12642137	  402.9	  402.3	 3157.0	...
12642138	  402.8	  404.5	 3166.0	...
12642139	  402.7	  402.1	 3175.0	...
12642140	  404.5	  408.1	 3151.0	...
12642141	  406.3	  407.2	 3146.0	...
12642142	  406.5	  406.3	 3141.0	...
12642143	  404.8	  405.0	 3144.0	...
12642144	  403.0	  403.6	 3148.0	...
12642145	  402.9	  401.5	 3164.0	...
12642146	  402.9	  400.4	 3168.0	...
12642147	  402.8	  399.8	 3171.0	...
12642148	  402.8	  399.3	 3173.0	...
12642149	  395.7	  404.9	 3126.0	...
12642150	  397.0	  406.1	 3118.0	...
12642151	  398.3	  407.3	 3110.0	...
12642152	  398.3	  407.3	 3110.0	...
12642153	  398.8	  408.2	 3154.0	...
12642154	  399.3	  407.8	 3160.0	...
12642155	  399.5	  407.4	 3147.0	...
12642156	  399.7	  405.7	 3181.0	...
12642157	  398.8	  405.8	 3147.0	...
12642158	  399.6	  404.4	 3114.0	...
12642159	  399.7	  403.1	 3124.0	...
12642160	  399.5	  401.8	 3134.0	...
12642161	  399.3	  401.2	 3168.0	...
12642162	  399.0	  401.0	 3172.0	...
12642163	  399.1	  401.1	 3170.0	...
12642164	  399.0	  399.4	 3179.0	...
12642165	  401.7	  397.7	 3189.0	...
12642166	  401.5	  398.2	 3179.0	...
12642167	  401.3	  398.7	 3169.0	...
12642168	  398.2	  403.2	 3168.0	...
12642169	  399.7	  403.2	 3167.0	...
12642170	  400.4	  402.7	 3180.0	...
12642171	  401.0	  403.7	 3153.0	...
12642172	  406.1	  402.0	 3126.0	...
12642173	  405.8	  400.4	 3152.0	...
12642174	  407.1	  396.2	 3178.0	...
12642175	  408.4	  390.8	 3165.0	...
12642176	  406.4	  390.5	 3175.0	...
12642177	  404.3	  392.8	 3185.0	...
12642178	  402.3	  395.1	 3184.0	...
12642179	  400.2	  396.7	 3209.0	...
12642180	  399.9	  397.1	 3233.0	...
12642181	  401.8	  396.8	 3250.0	...
12642182	  402.1	  396.6	 3268.0	...
12642183	  401.5	  397.7	 3251.0	...
12642184	  403.5	  394.6	 3235.0	...
12642185	  401.6	  395.5	 3226.0	...
12642186	  399.7	  394.7	 3218.0	...
12642187	  399.7	  397.1	 3220.0	...
12642188	  400.1	  396.5	 3204.0	...
12642189	  399.3	  395.9	 3187.0	...
12642190	  399.6	  392.3	 3201.0	...
12642191	  399.3	  392.2	 3214.0	...
12642192	  399.2	  395.9	 3204.0	...
12642193	  399.3	  396.3	 3193.0	...
12642194	  397.6	  396.8	 3171.0	...
12642195	  398.3	  395.7	 3148.0	...
12642196	  397.7	  398.6	 3168.0	...
12642197	  398.3	  401.4	 3126.0	...
12642198	  398.9	  400.0	 3116.0	...
12642199	  400.6	  398.6	 3117.0	...
12642200	  401.0	  396.2	 3101.0	...
12642201	  407.3	  386.7	 3085.0	...
12642202	  408.0	  383.3	 3093.0	...
12642203	  403.5	  393.7	 3089.0	...
12642204	  399.0	  404.2	 3085.0	...
12642205	  399.0	  404.2	 3085.0	...
12642206	  396.3	  416.2	 3048.0	...
12642207	  397.6	  409.9	 3106.0	...
12642208	  401.5	  391.6	 3200.0	...
12642209	  401.5	  391.6	 3200.0	...
12642210	  403.8	  388.0	 3254.0	...
12642211	  402.9	  394.2	 3272.0	...
12642212	  403.0	  393.8	 3240.0	...
12642213	  402.3	  393.5	 3242.0	...
12642214	  403.9	  386.4	 3201.0	...
12642215	  402.1	  390.5	 3197.0	...
12642216	  400.4	  394.6	 3204.0	...
12642217	  401.6	  400.1	 3184.0	...
12642218	  402.9	  398.8	 3164.0	...
12642219	  407.6	  397.5	 3157.0	...
12642220	  411.9	  394.1	 3134.0	...
EFIX R   12642129	12642220	92	  401.3	  399.3	   3168
SSACC R  12642221
12642221	  412.6	  385.5	 3136.0	...
12642222	  409.7	  386.3	 3138.0	...
12642223	  406.8	  386.4	 3194.0	...
12642224	  400.2	  384.9	 3224.0	...
12642225	  404.0	  383.1	 3192.0	...
12642226	  407.8	  385.9	 3160.0	...
12642227	  406.5	  388.9	 3108.0	...
12642228	  405.1	  389.2	 3083.0	...
12642229	  403.5	  387.9	 3124.0	...
12642230	  402.0	  386.6	 3165.0	...
12642231	  400.5	  377.3	 3309.0	...
12642232	  400.5	  377.3	 3309.0	...
12642233	  400.0	  379.3	 3296.0	...
12642234	  400.9	  381.2	 3245.0	...
12642235	  400.2	  393.6	 3219.0	...
12642236	  401.1	  389.9	 3194.0	...
12642237	  402.0	  388.9	 3179.0	...
12642238	  401.7	  388.0	 3199.0	...
12642239	  401.4	  378.1	 3219.0	...
12642240	  399.8	  382.5	 3225.0	...
12642241	  394.8	  387.0	 3206.0	...
12642242	  391.5	  405.8	 3188.0	...
12642243	  391.5	  405.8	 3188.0	...
12642244	  409.0	  369.4	 3101.0	...
12642245	  409.0	  369.4	 3101.0	...
12642246	  409.0	  369.4	 3101.0	...
12642247	  405.7	  371.7	 3168.0	...
12642248	  407.5	  372.1	 3236.0	...
12642249	  405.4	  372.7	 3240.0	...
12642250	  403.4	  377.5	 3230.0	...
12642251	  406.6	  374.5	 3240.0	...
ESACC R  12642221	12642251	31	  412.6	  385.5	  406.6	  374.5	   0.54	    129
SFIX R   12642252
12642252	  404.7	  373.7	 3251.0	...
12642253	  402.8	  373.9	 3282.0	...
12642254	  400.4	  374.1	 3289.0	...
12642255	  399.7	  373.5	 3282.0	...
12642256	  399.0	  373.7	 3301.0	...
12642257	  400.2	  373.5	 3297.0	...
12642258	  399.0	  377.9	 3296.0	...
12642259	  397.9	  382.2	 3297.0	...
12642260	  398.5	  377.0	 3295.0	...
12642261	  399.1	  371.7	 3326.0	...
12642262	  398.5	  374.2	 3324.0	...
12642263	  397.8	  375.4	 3361.0	...
12642264	  400.0	  375.9	 3359.0	...
12642265	  400.6	  372.9	 3358.0	...
12642266	  400.5	  372.3	 3369.0	...
12642267	  400.3	  372.4	 3380.0	...
12642268	  396.6	  371.7	 3411.0	...
12642269	  399.9	  370.7	 3402.0	...
12642270	  398.7	  370.2	 3394.0	...
12642271	  398.9	  369.6	 3362.0	...
12642272	  398.5	  372.0	 3367.0	...
12642273	  398.1	  371.8	 3372.0	...
12642274	  398.7	  371.5	 3395.0	...
12642275	  399.2	  368.5	 3448.0	...
12642276	  398.1	  368.6	 3417.0	...
12642277	  400.0	  366.4	 3405.0	...
12642278	  400.1	  365.9	 3403.0	...
12642279	  400.3	  365.3	 3427.0	...
12642280	  401.7	  363.7	 3432.0	...
12642281	  400.1	  365.0	 3438.0	...
12642282	  398.4	  366.2	 3505.0	...
12642283	  397.2	  366.8	 3538.0	...
12642284	  396.0	  367.3	 3570.0	...
12642285	  395.5	  367.7	 3569.0	...
12642286	  395.8	  367.8	 3568.0	...
12642287	  396.1	  366.9	 3559.0	...
12642288	  397.0	  367.6	 3550.0	...
12642289	  396.0	  368.3	 3568.0	...
12642290	  396.1	  364.0	 3576.0	...
12642291	  395.6	  362.4	 3583.0	...
12642292	  395.1	  362.1	 3584.0	...
12642293	  395.9	  361.8	 3584.0	...
12642294	  394.1	  364.9	 3589.0	...
12642295	  394.2	  364.1	 3591.0	...
12642296	  393.7	  367.0	 3593.0	...
12642297	  394.8	  363.1	 3627.0	...
12642298	  395.9	  361.4	 3610.0	...
EFIX R   12642252	12642298	47	  398.2	  369.5	   3436
SSACC R  12642299
12642299	  395.6	  360.7	 3611.0	...
12642300	  395.3	  360.9	 3609.0	...
12642301	  394.2	  361.1	 3608.0	...
12642302	  398.7	  355.0	 3604.0	...
12642303	  396.9	  353.8	 3568.0	...
12642304	  395.2	  355.1	 3495.0	...
12642305	  387.2	  355.8	 3470.0	...
12642306	  386.3	  356.2	 3446.0	...
12642307	  386.0	  355.5	 3454.0	...
12642308	  385.7	  360.6	 3417.0	...
12642309	  377.0	  360.3	 3430.0	...
12642310	  368.3	  359.9	 3431.0	...
12642311	  353.8	  354.2	 3432.0	...
12642312	  351.7	  348.2	 3439.0	...
12642313	  341.2	  347.4	 3442.0	...
12642314	  330.6	  346.7	 3422.0	...
12642315	  327.8	  348.7	 3433.0	...
12642316	  325.1	  349.1	 3424.0	...
12642317	  314.3	  349.0	 3424.0	...
12642318	  303.6	  348.8	 3425.0	...
12642319	  293.4	  345.0	 3396.0	...
12642320	  293.7	  344.1	 3366.0	...
12642321	  294.0	  343.2	 3347.0	...
12642322	  292.0	  336.6	 3338.0	...
12642323	  289.9	  335.4	 3331.0	...
12642324	  287.1	  334.1	 3324.0	...
12642325	  289.6	  333.1	 3307.0	...
12642326	  288.4	  333.2	 3342.0	...
12642327	  288.1	  331.5	 3378.0	...
12642328	  287.9	  329.9	 3392.0	...
12642329	  285.6	  329.7	 3370.0	...
12642330	  286.4	  329.9	 3385.0	...
12642331	  287.2	  330.2	 3384.0	...
12642332	  287.8	  333.6	 3384.0	...
12642333	  288.4	  333.6	 3389.0	...
12642334	  288.4	  333.3	 3371.0	...
12642335	  288.5	  333.0	 3353.0	...
12642336	  296.4	  331.6	 3333.0	...
12642337	  297.6	  334.1	 3295.0	...
12642338	  296.9	  336.8	 3289.0	...
12642339	  296.1	  347.8	 3250.0	...
12642340	  297.3	  346.5	 3236.0	...
12642341	  298.4	  345.2	 3209.0	...
12642342	  302.2	  335.9	 3195.0	...
12642343	  302.2	  335.9	 3195.0	...
12642344	  297.2	  339.7	 3253.0	...
12642345	  292.2	  343.5	 3311.0	...
12642346	  290.6	  339.0	 3337.0	...
12642347	  293.8	  334.2	 3363.0	...
12642348	  297.1	  328.2	 3374.0	...
12642349	  295.9	  330.6	 3380.0	...
12642350	  294.8	  333.1	 3364.0	...
12642351	  295.6	  332.1	 3377.0	...
12642352	  293.6	  335.3	 3390.0	...
12642353	  291.6	  338.5	 3406.0	...
12642354	  286.8	  340.2	 3392.0	...
12642355	  292.5	  338.8	 3379.0	...
12642356	  292.5	  340.1	 3335.0	...
12642357	  289.7	  341.6	 3275.0	...
12642358	  286.9	  341.2	 3281.0	...
12642359	  285.3	  340.8	 3288.0	...
12642360	  287.3	  335.7	 3274.0	...
12642361	  285.2	  338.8	 3281.0	...
12642362	  283.2	  339.2	 3261.0	...
12642363	  282.7	  339.6	 3294.0	...
12642364	  284.3	  332.3	 3289.0	...
12642365	  285.8	  329.6	 3289.0	...
12642366	  287.1	  329.4	 3291.0	...
12642367	  286.5	  329.1	 3275.0	...
12642368	  285.8	  333.9	 3293.0	...
12642369	  284.5	  338.7	 3310.0	...
12642370	  284.3	  343.5	 3335.0	...
12642371	  282.5	  344.0	 3328.0	...
12642372	  280.7	  344.4	 3320.0	...
12642373	  280.7	  344.4	 3320.0	...
12642374	  283.8	  330.8	 3295.0	...
12642375	  283.6	  331.4	 3278.0	...
12642376	  283.9	  332.1	 3298.0	...
12642377	  283.6	  336.4	 3301.0	...
12642378	  284.5	  332.9	 3295.0	...
12642379	  284.8	  332.7	 3289.0	...
12642380	  284.8	  333.3	 3279.0	...
12642381	  284.8	  333.9	 3291.0	...
12642382	  284.8	  339.3	 3303.0	...
12642383	  284.5	  340.1	 3320.0	...
12642384	  284.2	  345.2	 3337.0	...
12642385	  282.5	  345.6	 3342.0	...
12642386	  285.1	  345.2	 3327.0	...
12642387	  285.8	  344.9	 3312.0	...
12642388	  286.5	  340.3	 3324.0	...
12642389	  286.3	  335.7	 3317.0	...
12642390	  286.8	  332.8	 3333.0	...
12642391	  285.1	  333.0	 3350.0	...
12642392	  284.4	  331.2	 3369.0	...
12642393	  283.7	  334.7	 3378.0	...
12642394	  282.8	  336.4	 3366.0	...
12642395	  281.8	  338.0	 3376.0	...
12642396	  281.6	  335.3	 3381.0	...
ESACC R  12642299	12642396	98	  395.6	  360.7	  281.6	  335.3	   5.08	    342
SFIX R   12642397
12642397	  281.3	  332.5	 3387.0	...
12642398	  282.2	  332.0	 3393.0	...
12642399	  283.1	  331.6	 3396.0	...
12642400	  282.0	  332.1	 3399.0	...
12642401	  280.9	  332.7	 3448.0	...
12642402	  278.3	  337.5	 3458.0	...
12642403	  277.6	  338.8	 3450.0	...
12642404	  276.8	  340.0	 3441.0	...
12642405	  276.2	  341.3	 3424.0	...
12642406	  275.5	  341.1	 3417.0	...
12642407	  277.0	  340.8	 3410.0	...
12642408	  276.6	  336.5	 3446.0	...
12642409	  276.3	  338.5	 3482.0	...
12642410	  276.2	  337.6	 3581.0	...
12642411	  276.1	  336.7	 3557.0	...
12642412	  276.3	  336.2	 3549.0	...
12642413	  276.0	  336.2	 3550.0	...
12642414	  275.8	  336.2	 3547.0	...
12642415	  275.2	  338.5	 3544.0	...
12642416	  276.0	  337.8	 3552.0	...
12642417	  276.0	  337.1	 3543.0	...
12642418	  276.0	  336.5	 3556.0	...
12642419	  276.2	  336.6	 3557.0	...
12642420	  275.2	  334.9	 3558.0	...
12642421	  276.0	  333.1	 3534.0	...
12642422	  274.6	  336.7	 3542.0	...
12642423	  273.2	  335.1	 3538.0	...
12642424	  273.0	  336.5	 3534.0	...
12642425	  278.7	  331.0	 3531.0	...
12642426	  279.5	  330.6	 3529.0	...
12642427	  278.1	  332.7	 3527.0	...
12642428	  281.4	  331.2	 3513.0	...
12642429	  279.9	  333.4	 3499.0	...
12642430	  278.4	  334.3	 3506.0	...
12642431	  278.3	  334.5	 3485.0	...
12642432	  278.7	  331.1	 3465.0	...
12642433	  277.0	  331.8	 3445.0	...
12642434	  275.3	  331.5	 3455.0	...
12642435	  275.1	  331.1	 3456.0	...
12642436	  275.3	  330.5	 3457.0	...
12642437	  275.5	  331.8	 3453.0	...
12642438	  278.6	  326.7	 3449.0	...
12642439	  279.2	  325.4	 3475.0	...
12642440	  279.4	  326.1	 3454.0	...
12642441	  279.3	  326.8	 3449.0	...
12642442	  279.2	  327.2	 3451.0	...
12642443	  277.4	  327.7	 3449.0	...
12642444	  278.0	  327.7	 3474.0	...
12642445	  278.6	  327.8	 3476.0	...
12642446	  276.6	  328.0	 3478.0	...
12642447	  276.6	  326.5	 3479.0	...
12642448	  277.6	  325.0	 3463.0	...
12642449	  278.0	  323.4	 3485.0	...
12642450	  278.1	  324.3	 3488.0	...
12642451	  278.2	  325.1	 3483.0	...
12642452	  278.8	  323.3	 3477.0	...
12642453	  279.4	  321.6	 3448.0	...
12642454	  279.6	  323.1	 3337.0	...
12642455	  279.7	  321.5	 3335.0	...
12642456	  279.8	  323.7	 3335.0	...
12642457	  278.2	  323.1	 3334.0	...
12642458	  278.3	  322.4	 3322.0	...
12642459	  278.3	  318.9	 3310.0	...
12642460	  280.0	  319.2	 3339.0	...
12642461	  279.8	  319.5	 3344.0	...
12642462	  281.5	  320.3	 3337.0	...
12642463	  279.5	  321.2	 3351.0	...
12642464	  277.4	  328.2	 3365.0	...
12642465	  276.8	  328.8	 3351.0	...
12642466	  278.9	  326.2	 3336.0	...
EFIX R   12642397	12642466	70	  277.8	  330.6	   3457
SSACC R  12642467
12642467	  281.0	  329.4	 3272.0	...
12642468	  281.0	  332.5	 3237.0	...
12642469	  279.9	  332.9	 3233.0	...
12642470	  278.9	  329.0	 3244.0	...
12642471	  279.6	  325.1	 3255.0	...
12642472	  280.0	  324.5	 3275.0	...
12642473	  280.3	  322.8	 3288.0	...
12642474	  281.8	  321.1	 3301.0	...
12642475	  281.7	  321.6	 3309.0	...
12642476	  281.6	  322.1	 3311.0	...
12642477	  280.0	  318.7	 3300.0	...
12642478	  278.7	  315.3	 3288.0	...
12642479	  281.0	  314.3	 3268.0	...
12642480	  283.2	  318.2	 3228.0	...
12642481	  288.9	  322.0	 3208.0	...
12642482	  288.9	  322.0	 3208.0	...
12642483	  288.9	  322.0	 3208.0	...
SBLINK R 12642484
12642484	   .	   .	    0.0	...
12642485	   .	   .	    0.0	...
12642486	   .	   .	    0.0	...
12642487	   .	   .	    0.0	...
12642488	   .	   .	    0.0	...
12642489	   .	   .	    0.0	...
12642490	   .	   .	    0.0	...
12642491	   .	   .	    0.0	...
12642492	   .	   .	    0.0	...
12642493	   .	   .	    0.0	...
12642494	   .	   .	    0.0	...
12642495	   .	   .	    0.0	...
12642496	   .	   .	    0.0	...
12642497	   .	   .	    0.0	...
12642498	   .	   .	    0.0	...
12642499	   .	   .	    0.0	...
12642500	   .	   .	    0.0	...
12642501	   .	   .	    0.0	...
12642502	   .	   .	    0.0	...
12642503	   .	   .	    0.0	...
12642504	   .	   .	    0.0	...
12642505	   .	   .	    0.0	...
12642506	   .	   .	    0.0	...
12642507	   .	   .	    0.0	...
12642508	   .	   .	    0.0	...
12642509	   .	   .	    0.0	...
12642510	   .	   .	    0.0	...
12642511	   .	   .	    0.0	...
12642512	   .	   .	    0.0	...
12642513	   .	   .	    0.0	...
12642514	   .	   .	    0.0	...
12642515	   .	   .	    0.0	...
12642516	   .	   .	    0.0	...
12642517	   .	   .	    0.0	...
12642518	   .	   .	    0.0	...
12642519	  273.0	  339.7	 3070.0	...
12642520	  273.0	  339.7	 3070.0	...
12642521	  273.0	  339.7	 3070.0	...
12642522	  273.0	  339.7	 3070.0	...
12642523	  273.0	  339.7	 3070.0	...
12642524	   .	   .	    0.0	...
12642525	   .	   .	    0.0	...
12642526	   .	   .	    0.0	...
12642527	   .	   .	    0.0	...
12642528	   .	   .	    0.0	...
12642529	   .	   .	    0.0	...
12642530	   .	   .	    0.0	...
12642531	  280.6	  314.3	 3100.0	...
12642532	  280.6	  314.3	 3100.0	...
12642533	  280.6	  314.3	 3100.0	...
12642534	  280.6	  314.3	 3100.0	...
12642535	  280.6	  314.3	 3100.0	...
12642536	   .	   .	    0.0	...
12642537	   .	   .	    0.0	...
12642538	   .	   .	    0.0	...
12642539	   .	   .	    0.0	...
12642540	   .	   .	    0.0	...
12642541	   .	   .	    0.0	...
12642542	   .	   .	    0.0	...
12642543	   .	   .	    0.0	...
12642544	   .	   .	    0.0	...
12642545	   .	   .	    0.0	...
12642546	   .	   .	    0.0	...
12642547	   .	   .	    0.0	...
12642548	   .	   .	    0.0	...
12642549	   .	   .	    0.0	...
12642550	   .	   .	    0.0	...
12642551	   .	   .	    0.0	...
12642552	   .	   .	    0.0	...
12642553	   .	   .	    0.0	...
12642554	   .	   .	    0.0	...
12642555	   .	   .	    0.0	...
12642556	   .	   .	    0.0	...
12642557	   .	   .	    0.0	...
12642558	   .	   .	    0.0	...
12642559	   .	   .	    0.0	...
12642560	   .	   .	    0.0	...
12642561	   .	   .	    0.0	...
12642562	   .	   .	    0.0	...
12642563	  276.9	  309.3	 3068.0	...
12642564	  276.9	  309.3	 3068.0	...
12642565	  276.9	  309.3	 3068.0	...
12642566	  276.9	  309.3	 3068.0	...
12642567	  276.9	  309.3	 3068.0	...
12642568	   .	   .	    0.0	...
12642569	   .	   .	    0.0	...
12642570	   .	   .	    0.0	...
12642571	  271.9	  309.7	 3041.0	...
12642572	  271.9	  309.7	 3041.0	...
12642573	  271.9	  309.7	 3041.0	...
12642574	  271.9	  309.7	 3041.0	...
12642575	  271.9	  309.7	 3041.0	...
12642576	   .	   .	    0.0	...
12642577	   .	   .	    0.0	...
12642578	   .	   .	    0.0	...
12642579	   .	   .	    0.0	...
12642580	   .	   .	    0.0	...
12642581	   .	   .	    0.0	...
12642582	   .	   .	    0.0	...
12642583	   .	   .	    0.0	...
12642584	   .	   .	    0.0	...
12642585	   .	   .	    0.0	...
12642586	   .	   .	    0.0	...
12642587	   .	   .	    0.0	...
12642588	   .	   .	    0.0	...
12642589	   .	   .	    0.0	...
12642590	   .	   .	    0.0	...
12642591	   .	   .	    0.0	...
12642592	   .	   .	    0.0	...
12642593	   .	   .	    0.0	...
12642594	   .	   .	    0.0	...
12642595	   .	   .	    0.0	...
12642596	   .	   .	    0.0	...
12642597	   .	   .	    0.0	...
12642598	   .	   .	    0.0	...
12642599	   .	   .	    0.0	...
12642600	   .	   .	    0.0	...
12642601	   .	   .	    0.0	...
12642602	   .	   .	    0.0	...
12642603	   .	   .	    0.0	...
12642604	   .	   .	    0.0	...
12642605	   .	   .	    0.0	...
12642606	   .	   .	    0.0	...
12642607	   .	   .	    0.0	...
12642608	   .	   .	    0.0	...
12642609	  271.4	  308.7	 3037.0	...
12642610	  271.4	  308.7	 3037.0	...
12642611	  271.4	  308.7	 3037.0	...
12642612	  279.3	  308.5	 3049.0	...
12642613	  287.2	  308.4	 3062.0	...
12642614	  287.2	  308.4	 3062.0	...
12642615	  278.8	  318.9	 3099.0	...
12642616	  270.4	  329.4	 3137.0	...
12642617	  270.4	  329.4	 3137.0	...
12642618	  270.9	  326.8	 3106.0	...
12642619	  271.4	  324.1	 3075.0	...
12642620	  271.4	  324.1	 3075.0	...
12642621	  271.4	  324.1	 3075.0	...
12642622	  279.8	  310.9	 3064.0	...
12642623	  279.8	  310.9	 3064.0	...
12642624	  279.8	  310.9	 3064.0	...
12642625	  279.8	  310.9	 3064.0	...
12642626	  279.8	  310.9	 3064.0	...
12642627	   .	   .	    0.0	...
12642628	   .	   .	    0.0	...
12642629	   .	   .	    0.0	...
12642630	   .	   .	    0.0	...
12642631	   .	   .	    0.0	...
12642632	   .	   .	    0.0	...
12642633	   .	   .	    0.0	...
12642634	   .	   .	    0.0	...
12642635	   .	   .	    0.0	...
12642636	   .	   .	    0.0	...
12642637	   .	   .	    0.0	...
12642638	   .	   .	    0.0	...
12642639	   .	   .	    0.0	...
12642640	   .	   .	    0.0	...
12642641	   .	   .	    0.0	...
12642642	   .	   .	    0.0	...
12642643	   .	   .	    0.0	...
12642644	   .	   .	    0.0	...
